location,size,total_sqft,bath,price,price_per_sqft
Electronic City Phase II,2,1056.0,2.0,39.07,0.03699810606060606
Uttarahalli,3,1440.0,2.0,62.0,0.043055555555555555
Lingadheeranahalli,3,1521.0,3.0,95.0,0.062458908612754764
Kothanur,2,1200.0,2.0,51.0,0.0425
Whitefield,2,1170.0,2.0,38.0,0.03247863247863248
Marathahalli,3,1310.0,3.0,63.25,0.048282442748091604
Whitefield,3,1800.0,2.0,70.0,0.03888888888888889
7th Phase JP Nagar,2,1000.0,2.0,38.0,0.038
Gottigere,2,1100.0,2.0,40.0,0.03636363636363636
Sarjapur,3,2250.0,3.0,148.0,0.06577777777777778
Mysore Road,2,1175.0,2.0,73.5,0.0625531914893617
Bisuvanahalli,3,1180.0,3.0,48.0,0.04067796610169491
Raja Rajeshwari Nagar,3,1540.0,3.0,60.0,0.03896103896103896
Manayata Tech Park,2,1100.0,2.0,48.0,0.04363636363636364
Kengeri,1,600.0,1.0,15.0,0.025
Binny Pete,3,1755.0,3.0,122.0,0.06951566951566951
Bellandur,3,1767.0,3.0,103.0,0.058290888511601587
 Thanisandra,1,510.0,1.0,25.25,0.049509803921568625
Mangammanapalya,3,1250.0,3.0,56.0,0.0448
Electronic City,2,660.0,1.0,23.1,0.035
Whitefield,3,1610.0,3.0,81.0,0.05031055900621118
Ramagondanahalli,2,1151.0,2.0,48.77,0.04237185056472633
Electronic City,3,1025.0,2.0,47.0,0.045853658536585365
Bisuvanahalli,3,1075.0,2.0,35.0,0.03255813953488372
Hebbal,3,1760.0,2.0,123.0,0.06988636363636364
Raja Rajeshwari Nagar,3,1693.0,3.0,57.39,0.0338984051978736
Kasturi Nagar,3,1925.0,3.0,125.0,0.06493506493506493
Kanakpura Road,2,700.0,2.0,36.0,0.05142857142857143
Electronics City Phase 1,2,1070.0,2.0,45.5,0.04252336448598131
Kundalahalli,3,1724.0,3.0,125.0,0.07250580046403712
Chikkalasandra,3,1290.0,2.0,56.12,0.043503875968992245
Uttarahalli,2,1143.0,2.0,45.0,0.03937007874015748
Murugeshpalya,2,1296.0,2.0,81.0,0.0625
Sarjapur  Road,3,1254.0,3.0,38.0,0.030303030303030304
Ganga Nagar,1,600.0,1.0,38.0,0.06333333333333334
Yelahanka,1,660.0,1.0,48.0,0.07272727272727272
Kanakpura Road,2,1330.74,2.0,91.79,0.0689766596029277
Doddathoguru,2,970.0,2.0,33.0,0.03402061855670103
Whitefield,2,1459.0,2.0,94.82,0.06498971898560657
Himagiri Meadows,2,869.0,2.0,36.0,0.04142692750287687
Adarsh Nagar,2,1270.0,2.0,50.0,0.03937007874015748
Bhoganhalli,3,1670.0,3.0,99.0,0.0592814371257485
Whitefield,3,2010.0,3.0,91.0,0.04527363184079602
Lakshminarayana Pura,2,1185.0,2.0,75.0,0.06329113924050633
Yelahanka,3,1600.0,2.0,75.0,0.046875
Begur Road,2,1200.0,2.0,44.0,0.03666666666666667
Govindaraja Nagar Ward,2,840.0,2.0,45.0,0.05357142857142857
Ganga Nagar,2,845.0,2.0,55.0,0.0650887573964497
Varthur,2,1160.0,2.0,44.0,0.03793103448275862
Doddathoguru,2,1100.0,2.0,62.0,0.056363636363636366
Gunjur,2,1140.0,2.0,43.0,0.037719298245614034
Marathahalli,2,1220.0,2.0,57.0,0.04672131147540984
Kanakpura Road,2,1005.0,2.0,36.68,0.03649751243781094
Begur Road,2,1358.0,2.0,80.58,0.05933726067746686
Hegde Nagar,3,1569.0,3.0,101.0,0.06437221159974506
Haralur Road,2,1240.0,2.0,70.0,0.056451612903225805
Hennur Road,3,2089.0,3.0,140.0,0.06701771182383916
Kothannur,2,1206.0,2.0,48.23,0.03999170812603648
Kalena Agrahara,2,1150.0,2.0,40.0,0.034782608695652174
Kaval Byrasandra,2,460.0,1.0,22.0,0.04782608695652174
Kodanda Reddy Layout,3,1660.0,2.0,105.0,0.06325301204819277
Yelahanka,2,1326.0,2.0,78.0,0.058823529411764705
